"Quite expensive, I was in the USA for some weeks and used it, would not fully recommend.",1
Didn't have many choices on prepaid phones if they had more prepaid phones then a bigger selection it would be all right,1
"Our internet is not always reliable. It goes out frequently weekly, but when it works it's fairly quick. Unfortunately the problem hasn't been resolved yet.",1
Poor customer service.Their fiber service isn't very reliable. Has issues that they won't admit to. And won't fix either.Plenty of issues either they want to roll a truck out to you but charge you if they find nothing or they want to replace your equipment when it's already been replaced twice.I won't give  them anything less because overall it's been tolerable at least in my situation. Unlike other companies I've dealt with that weee much worse. They at least have a small level of stability.But poor customer service and tech support is the reason I take the stars,1
"This should’ve been a one star, but Jerome ID # JW913Q Completely saved the day. For about 30 hours, I couldn’t use my work cell phone Because three different individuals in the customer service couldn’t figure out how to get my phone connected to the E-SIM. It took only 40 minutes and that is including me calling in and verifying my information so most likely around 20 minutes it took Jerome to fix the issue. If it had not been for him, I was getting ready to cancel everything.",1
Just reporting after paying off an ATT phone and not being on subscription plan the online phone unlock does NOT work.This forces you contact customer support force them to unlock your phone. Yes they trying to keep you on. There are services that are cheaper than ATT plans.,1
"I lost Internet service after 8 pm Friday 6/7/24. Called to report it and was told AT&T had a outage in my area and it would be repaired by 7 am the next day. By 7 am Saturday 6/8/24 my Internet was still down. Was told it would be Monday evening 6/10/24 before they could get someone out. I noticed on Saturday morning that the fiberoptic cable ,from the utility pole, was on the ground of my neighbor's property. 3 days without Internet is rediculous.",1
"I spent well over an hour and a half speaking with OSHAINE from ATT this morning.  The reason it was so frustrating had nothing to do with OSHAINE as he maintained his calm and friendly Demeanor the whole time and he did, eventually, through his knowledge of non published methods, get my Tv and remote working properly again.  I thank him sincerely for his professional service.Billy",1
"I was with another phone service for 3 years. I live in a very rural area and to make matters worse, it's in valley so service was sketchy and to add insult to injury, the rates kept going up.  About a year ago, I switched to AT&T and my service has improved 100%.  Customer service is always helpful and except for being gouge when I missed a payment, I have no complaints.  I'm on a fixed income so low cost is important but staying in contact with family and friends and being able to cal out in case of emergency is of utmost importance.  I'm sure glad I switched from Verizon to AT&T.",1
"The reception can be patchy in the ATL area, but honestly the prices compared to other providers are pretty good. I don't think I'll switch anytime soon unless something better comes up.",1
"Great products, not so great service. We have frequent outages in my area caused by a small animal chewing on a wire. I doubt that's the reason for the frequent outages, but if it is, why can't they make something that can't be easily damaged by rodents?",1
"The connection they offer is not very stable and don't bother calling customer service, they will just say the problem is on your end.And when it comes to speed, it is too expensive for what you get, I do not recommend their service.",1
"I tried att air for seven day trial.  It worked fine initially-faster speed, easy set up and cheaper than my current plan. However, a major issue was noted that caused me to return the unit. Air runs off of cell towers that only provide “dynamic”ip addresses (meaning that the ip address changes every day). This caused my apps(Hulu live and Utube live) to change location every day.  Got locked out of Hulu because of the 4 locations change cap. Requires “static” ip address.  Tech support said this cannot be changed.  So… back it went to att.A month later I received a-bill for $121.71 ( two months) .  I called to make sure we are not charged to card.  Charges waived. Told toDisregard emails about return,billing etc.Three months later I got an automated email notification that my account will go to collection for amount of $67.81.  Had to call to get this fixed since automated email would destroy my credit rating.  They (billing) saidagain to ignore any automated emails as account will be closed ( it should have been closed the first time).",1
"We have been an AT&T Mobile Phone customer for many years. Service has been OK.We upgraded our phones due to AT&T advertising - ""Upgrade your phone for Free if it is paid off"".  The Sugar Land, TX  Store did this but did not tell us about all the Fees involved: Upgrade Fee, Installment amount that they said we would get back later., etc. They said our new Bill should only go up about $1.00/month. This first Bill went up $98, instead of going down.Now we are ""stuck"" with a 3 year Installment ""loan"" for a ""Free"" Phone, even though there are offset credits. We asked when we would get the offset credits back, the store said we would get these first couple of months fees back at the end of the 3 year contract.We feel Deceived by AT&T. Misrepresentation and dishonesty.",1
"Decided to switch from my old carrier in January 2023.  Ordered the lavender Galaxy 23 Plus in early February 2023.  Still didn't have it by my birthday (02/26), and was told by the local store that somehow the order got cancelled.  Local store reordered it in and finally I visit the store to get it on March 14th, 2023.  I ordered lavender but all that the store had was black, as lavender is allegedly still on backorder... Had also picked out a lavender case before I even put in the original order, but at the store, no lavender cases.  Sat there for over an hour awaiting the data transfer, then $184 later, I'm out the door with the phone... only to discover at home that all of my calls and most of my text messages are still going only to the phone from my former carrier.  Didn't get anything that I wanted out of this deal other than a new phone, but I could have walked out the door with it from my old carrier for about $20 cheaper.  This is a horrible way to start a new relationship with a customer and I am seriously considering a return since I'm still in the 14-day window.  The employee who helped me along the way has been nothing but courteous and professional, but I feel like ALL of this should have been taken care of by now.  So annoyed!",1
I and others I know purchased a galaxy 22 ultra.  It has been the most frustrating phone I have ever owned.  It gives me more problems and has more issues.  I wish I still had my note 9.  It was great.  I believe something is wrong with the S22 Ultra.  I am far from happy with this phone!!,1
